Fecha,Estado,Grupo_social,Tematica,Total_poblacion,Bajo_umbral_pobreza,Porcentaje_pobreza,Origen_dato
2016-01-01,Alabama,Población evaluable para pobreza,Población base,4741329,810231,0.171,Original
2016-01-01,Alaska,Población evaluable para pobreza,Población base,723968,71566,0.099,Original
2016-01-01,Arizona,Población evaluable para pobreza,Población base,6771098,1107464,0.16399999999999998,Original
2016-01-01,Arkansas,Población evaluable para pobreza,Población base,2898630,499225,0.172,Original
2016-01-01,California,Población evaluable para pobreza,Población base,38513258,5525524,0.14300000000000002,Original
2016-01-01,Colorado,Población evaluable para pobreza,Población base,5420327,598736,0.11,Original
2016-01-01,Connecticut,Población evaluable para pobreza,Población base,3469514,339128,0.098,Original
2016-01-01,Delaware,Población evaluable para pobreza,Población base,926864,108211,0.117,Original
2016-01-01,District of Columbia,Población evaluable para pobreza,Población base,647654,120308,0.18600000000000003,Original
2016-01-01,Florida,Población evaluable para pobreza,Población base,20191342,2973512,0.147,Original
2016-01-01,Georgia,Población evaluable para pobreza,Población base,10040201,1603013,0.16,Original
2016-01-01,Hawaii,Población evaluable para pobreza,Población base,1389442,129569,0.093,Original
2016-01-01,Idaho,Población evaluable para pobreza,Población base,1652592,237445,0.14400000000000002,Original
2016-01-01,Illinois,Población evaluable para pobreza,Población base,12502057,1621508,0.13,Original
2016-01-01,Indiana,Población evaluable para pobreza,Población base,6432804,906077,0.141,Original
2016-01-01,Iowa,Población evaluable para pobreza,Población base,3031338,356378,0.118,Original
2016-01-01,Kansas,Población evaluable para pobreza,Población base,2825864,342544,0.121,Original
2016-01-01,Kentucky,Población evaluable para pobreza,Población base,4298953,794060,0.185,Original
2016-01-01,Louisiana,Población evaluable para pobreza,Población base,4546017,918187,0.202,Original
2016-01-01,Maine,Población evaluable para pobreza,Población base,1295971,161749,0.125,Original
2016-01-01,Maryland,Población evaluable para pobreza,Población base,5875026,567715,0.097,Original
2016-01-01,Massachusetts,Población evaluable para pobreza,Población base,6574249,686597,0.104,Original
2016-01-01,Michigan,Población evaluable para pobreza,Población base,9702321,1451936,0.15,Original
2016-01-01,Minnesota,Población evaluable para pobreza,Población base,5396363,533276,0.099,Original
2016-01-01,Mississippi,Población evaluable para pobreza,Población base,2892894,602768,0.208,Original
2016-01-01,Missouri,Población evaluable para pobreza,Población base,5911040,826954,0.14,Original
2016-01-01,Montana,Población evaluable para pobreza,Población base,1018105,135638,0.133,Original
2016-01-01,Nebraska,Población evaluable para pobreza,Población base,1851069,211453,0.114,Original
2016-01-01,Nevada,Población evaluable para pobreza,Población base,2896888,399420,0.138,Original
2016-01-01,New Hampshire,Población evaluable para pobreza,Población base,1292255,94289,0.073,Original
2016-01-01,New Jersey,Población evaluable para pobreza,Población base,8769487,915913,0.104,Original
2016-01-01,New Mexico,Población evaluable para pobreza,Población base,2039449,404463,0.198,Original
2016-01-01,New York,Población evaluable para pobreza,Población base,19230198,2832824,0.147,Original
2016-01-01,North Carolina,Población evaluable para pobreza,Población base,9886033,1521880,0.154,Original
2016-01-01,North Dakota,Población evaluable para pobreza,Población base,731759,78464,0.107,Original
2016-01-01,Ohio,Población evaluable para pobreza,Población base,11287401,1645382,0.146,Original
2016-01-01,Oklahoma,Población evaluable para pobreza,Población base,3809431,620377,0.163,Original
2016-01-01,Oregon,Población evaluable para pobreza,Población base,4016520,536146,0.133,Original
2016-01-01,Pennsylvania,Población evaluable para pobreza,Población base,12368256,1592045,0.129,Original
2016-01-01,Rhode Island,Población evaluable para pobreza,Población base,1015892,129932,0.128,Original
2016-01-01,South Carolina,Población evaluable para pobreza,Población base,4820419,735960,0.153,Original
2016-01-01,South Dakota,Población evaluable para pobreza,Población base,837292,110962,0.133,Original
2016-01-01,Tennessee,Población evaluable para pobreza,Población base,6489032,1023177,0.158,Original
2016-01-01,Texas,Población evaluable para pobreza,Población base,27236443,4261337,0.156,Original
2016-01-01,Utah,Población evaluable para pobreza,Población base,3004148,306902,0.102,Original
2016-01-01,Vermont,Población evaluable para pobreza,Población base,600077,71329,0.119,Original
2016-01-01,Virginia,Población evaluable para pobreza,Población base,8158241,896440,0.11,Original
2016-01-01,Washington,Población evaluable para pobreza,Población base,7156306,805691,0.113,Original
2016-01-01,West Virginia,Población evaluable para pobreza,Población base,1779919,319063,0.179,Original
2016-01-01,Wisconsin,Población evaluable para pobreza,Población base,5628565,661565,0.118,Original
2016-01-01,Wyoming,Población evaluable para pobreza,Población base,571169,64663,0.113,Original
2016-01-01,Puerto Rico,Población evaluable para pobreza,Población base,3379483,1469382,0.435,Original
2016-01-01,Alabama,Menores de edad,Edad,1084701,265901,0.245,Original
2016-01-01,Alaska,Menores de edad,Edad,183790,25938,0.141,Original
2016-01-01,Arizona,Menores de edad,Edad,1602166,378800,0.236,Original
